"GeneID","BCK_eIF4E_KD_DSG_2020.csv~1","BCK_eIF4E_KD_DSG_2023.xlsx~1","BCK_eIF4E_KD_DSG_2023.xlsx~2","BCK_eIF4E_KD_DSG_2023.xlsx~3","BCK_eIF4E_RIP_2016.csv~1","BCK_eIF4E_RIP_2025.csv~1","BCK_Ezr_RIP_2025.csv~1","JC list_4E interaction proteins.csv~1","JCM_NCBP2_OE_DEG_2024.csv~1","JCM_NCBP2_OE_rMATS_2024.csv~1","MG_eIF4E_OE_DSG_2018.csv~1"
"ENSG00000054654","BCK_eIF4E_KD_DSG_2020.csv~1.1",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.10",NA
"ENSG00000054654","BCK_eIF4E_KD_DSG_2020.csv~1.1",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1369",NA
"ENSG00000054654","BCK_eIF4E_KD_DSG_2020.csv~1.1",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1370",NA
"ENSG00000075413","BCK_eIF4E_KD_DSG_2020.csv~1.2",NA,NA,"BCK_eIF4E_KD_DSG_2023.xlsx~3.222","BCK_eIF4E_RIP_2016.csv~1.1113",NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.396","MG_eIF4E_OE_DSG_2018.csv~1.6"
"ENSG00000075413","BCK_eIF4E_KD_DSG_2020.csv~1.2",NA,NA,"BCK_eIF4E_KD_DSG_2023.xlsx~3.222","BCK_eIF4E_RIP_2016.csv~1.1113",NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.396","MG_eIF4E_OE_DSG_2018.csv~1.65"
"ENSG00000075413","BCK_eIF4E_KD_DSG_2020.csv~1.2",NA,NA,"BCK_eIF4E_KD_DSG_2023.xlsx~3.222","BCK_eIF4E_RIP_2016.csv~1.1113",NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1499","MG_eIF4E_OE_DSG_2018.csv~1.6"
"ENSG00000075413","BCK_eIF4E_KD_DSG_2020.csv~1.2",NA,NA,"BCK_eIF4E_KD_DSG_2023.xlsx~3.222","BCK_eIF4E_RIP_2016.csv~1.1113",NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1499","MG_eIF4E_OE_DSG_2018.csv~1.65"
"ENSG00000100307","BCK_eIF4E_KD_DSG_2020.csv~1.3",NA,NA,"BCK_eIF4E_KD_DSG_2023.xlsx~3.7","BCK_eIF4E_RIP_2016.csv~1.751",NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.39",NA
"ENSG00000104936","BCK_eIF4E_KD_DSG_2020.csv~1.4","BCK_eIF4E_KD_DSG_2023.xlsx~1.309",NA,NA,"BCK_eIF4E_RIP_2016.csv~1.508",NA,NA,NA,NA,NA,NA
"ENSG00000132781","BCK_eIF4E_KD_DSG_2020.csv~1.5","BCK_eIF4E_KD_DSG_2023.xlsx~1.28","BCK_eIF4E_KD_DSG_2023.xlsx~2.10","BCK_eIF4E_KD_DSG_2023.xlsx~3.22","BCK_eIF4E_RIP_2016.csv~1.744",NA,NA,NA,NA,NA,NA
"ENSG00000132781","BCK_eIF4E_KD_DSG_2020.csv~1.5","BCK_eIF4E_KD_DSG_2023.xlsx~1.28","BCK_eIF4E_KD_DSG_2023.xlsx~2.10","BCK_eIF4E_KD_DSG_2023.xlsx~3.23","BCK_eIF4E_RIP_2016.csv~1.744",NA,NA,NA,NA,NA,NA
"ENSG00000132781","BCK_eIF4E_KD_DSG_2020.csv~1.5","BCK_eIF4E_KD_DSG_2023.xlsx~1.28","BCK_eIF4E_KD_DSG_2023.xlsx~2.11","BCK_eIF4E_KD_DSG_2023.xlsx~3.22","BCK_eIF4E_RIP_2016.csv~1.744",NA,NA,NA,NA,NA,NA
"ENSG00000132781","BCK_eIF4E_KD_DSG_2020.csv~1.5","BCK_eIF4E_KD_DSG_2023.xlsx~1.28","BCK_eIF4E_KD_DSG_2023.xlsx~2.11","BCK_eIF4E_KD_DSG_2023.xlsx~3.23","BCK_eIF4E_RIP_2016.csv~1.744",NA,NA,NA,NA,NA,NA
